9,Financial or Legal Service
9,Fireworks Store
9,Fishing Store
9,Flea Market
9,Floating Market
9,Flower Shop
9,Food & Drink Shop
9,Frame Store
9,Fruit & Vegetable Store
9,Furniture / Home Store
9,Gaming Cafe
9,Garden Center
9,Gas Station
9,Gift Shop
9,Gun Shop
9,Hardware Store
9,Health & Beauty Service
9,Herbs & Spices Store
9,Hobby Shop
9,Home Service
9,Hunting Supply
9,IT Services
9,Insurance Office
9,Internet Cafe
9,Jewelry Store
9,Kitchen Supply Store
9,Knitting Store
9,Laundromat
9,Laundry Service
9,Lawyer
9,Leather Goods Store
9,Locksmith
9,Lottery Retailer
9,Luggage Store
9,Marijuana Dispensary
9,Market
9,Massage Studio
9,Mattress Store
9,Medical Supply Store
9,Miscellaneous Shop
9,Mobile Phone Shop
9,Mobility Store
9,Motorcycle Shop
9,Motorsports Shop
9,Music Store
9,Nail Salon
9,Newsstand
9,Notary
9,Optical Shop
9,Other Repair Shop
9,Outdoor Supply Store
9,Outlet Mall
9,Outlet Store
9,Paper / Office Supplies Store
9,Pawn Shop
9,Perfume Shop
9,Pet Service
9,Pet Store
9,Pharmacy
9,Photography Lab
9,Photography Studio
9,Piercing Parlor
9,Pop-Up Shop
9,Print Shop
9,Public Bathroom
9,Real Estate Office
9,Record Shop
9,Recording Studio
9,Recycling Facility
9,Rental Service
9,Salon / Barbershop
9,Sauna / Steam Room
9,Shipping Store
9,Shoe Repair
9,Shopping Mall
9,Shopping Plaza
9,Ski Shop
9,Smoke Shop
9,Smoothie Shop
9,Souvenir Shop
9,Spa
9,Sporting Goods Shop
9,Stationery Store
9,Storage Facility
9,Supplement Shop
9,Tailor Shop
9,Tanning Salon
9,Tattoo Parlor
9,Thrift / Vintage Store
9,Toy / Game Store
9,Travel Agency
9,Used Bookstore
9,Vape Store
9,Video Game Store
9,Video Store
9,Warehouse Store
9,Watch Shop
10,Airport
10,Baggage Locker
10,Bike Rental / Bike Share
10,Boat Rental
10,Boat or Ferry
10,Border Crossing
10,Bus Station
10,Bus Stop
10,Cable Car
10,Cruise
10,Duty-free Shop
10,General Travel
10,Heliport
10,Hotel
10,Intersection
10,Light Rail Station
10,Metro Station
10,Moving Target
10,Pier
10,Port
10,RV Park
10,Rental Car Location
10,Rest Area
10,Road
10,Taxi Stand
10,Taxi
10,Toll Booth
10,Toll Plaza
10,Tourist Information Center
10,Train Station
10,Tram Station
10,Transportation Service
10,Travel Lounge
10,Tunnel
